sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;lÃ­nea_credito
F;comercial;comidas rapidas;san_diego;2;10.0;2018-08-09;7800000.0;microempresarial
F;servicio;panaderia;aranjuez;1;4.0;2017-02-17;7377000.0;microempresarial
F;comercial;variedades;cabecera san antonio;1;19.0;2017-02-17;6000000.0;microempresarial
F;comercial;papeleria;san javier no.1;2;13.0;2018-02-21;6000000.0;microempresarial
F;comercial;tienda;manrique oriental;1;3.0;2019-06-07;7000000.0;microempresarial
F;servicio;tienda;aranjuez;2;4.0;2016-07-27;5000000.0;microempresarial
F;industrial;fabrica de colchones;bombona no. 1;3;10.0;2017-03-10;7370000.0;microempresarial
F;industrial;fabrica de;calasanz;1;12.0;2016-11-11;6800000.0;microempresarial
F;servicio;peluqueria;la candelaria;1;10.0;2016-11-02;4000000.0;Microempresarial
F;comercial;tienda;san javier no.1;1;13.0;2017-03-31;7000000.0;microempresarial
F;industrial;fabrica de calzado;campo valdes no. 1;1;4.0;2016-09-13;4000000.0;microempresarial
F;comercial;fabrica de;cabecera san cristobal;1;19.0;2018-04-23;1000000.0;microempresarial
F;comercial;distribuidora de;popular;1;1.0;2017-12-27;7300000.0;microempresarial
F;comercial;tienda;santa cruz;2;2.0;2018-06-14;7800000.0;microempresarial
F;comercial;papeleria;robledo;1;7.0;2018-05-02;1200000.0;microempresarial
F;comercial;variedades;toscana;1;5.0;2018-07-13;7500000.0;MICROEMPRESARIAL
F;comercial;distribuidora de;florencia;3;5.0;2018-10-03;6000000.0;microempresarial
F;industrial;fabrica de;manrique oriental;2;3.0;2018-08-08;7800000.0;microempresarial
F;comercial;taller de mecanica;popular;2;1.0;2019-06-05;4000000.0;microempresarial
F;comercial;papeleria;manrique central no. 1;1;4.0;2018-07-24;7800000.0;microempresarial
F;servicio;comidas rapidas;robledo;3;7.0;2017-05-12;4000000.0;microempresarial
F;industrial;fabrica_de_;villatina;2;8.0;2018-10-29;7800000.0;microempresarial
F;servicio;fabrica de;la floresta;1;12.0;2016-05-19;4000000.0;microempresarial
F;comercial;tienda;villatina;1;8.0;2018-02-13;3000000.0;microempresarial
F;industrial;fabrica de alimentos;campo valdes no. 1;3;4.0;2018-10-25;4000000.0;microempresarial
F;comercial;panaderia;robledo;1;7.0;2017-10-20;7370000.0;microempresarial
F;comercial;fabrica de colchones;aranjuez;1;4.0;2017-06-21;7377000.0;microempresarial
F;comercial;variedades;picacho;2;6.0;2018-07-04;5000000.0;microempresarial
F;servicio;peluqueria;castilla;3;5.0;2019-04-26;7500000.0;microempresarial
F;industrial;fabrica de;picachito;1;6.0;2017-03-03;7300000.0;microempresarial
F;industrial;fabrica de;pedregal;3;6.0;2017-05-17;7300000.0;microempresarial
F;comercial;comidas rapidas;campo_valdes_no._1;1;4.0;2018-08-01;2500000.0;microempresarial
F;industrial;fabrica de;buenos aires;1;9.0;2018-06-05;600000.0;microempresarial
F;comercial;comidas rapidas;pedregal;1;6.0;;5000000.0;microempresarial
F;comercial;tienda;santa cruz;2;2.0;;1000000.0;microempresarial
F;comercial;variedades;villa niza;1;2.0;2019-04-29;1000000.0;microempresarial
F;industrial;fabrica de;moscu_no._1;1;2.0;;2500000.0;microempresarial
F;comercial;distribuidora de;buenos aires;1;9.0;2017-03-13;7300000.0;microempresarial
F;industrial;fabrica de;manrique central no. 1;3;4.0;2017-12-11;7000000.0;microempresarial
F;industrial;fabrica_de_;castilla;2;5.0;2018-09-03;7800000.0;microempresarial
F;servicio;fabrica de alimentos;boyaca;3;5.0;2019-05-30;8281000.0;microempresarial
F;industrial;fabrica de;belen;3;16.0;2019-05-29;8000000.0;microempresarial
F;servicio;mantenimiento en;popular;1;1.0;2018-08-03;780000.0;microempresarial
F;comercial;fabrica de;olaya herrera;1;7.0;2018-07-25;7800000.0;microempresarial
F;industrial;fabrica de;doce de octubre no.1;1;6.0;2017-05-10;5000000.0;microempresarial
F;industrial;fabrica de;enciso;3;8.0;2016-06-29;2000000.0;microempresarial
F;comercial;variedades;la pradera;3;13.0;2018-07-04;4000000.0;microempresarial
F;industrial;fabrica de;manrique central no. 1;1;4.0;2019-05-08;8000000.0;microempresarial
F;comercial;variedades;pedregal;3;6.0;2018-03-08;7000000.0;microempresarial
F;industrial;fabrica de;robledo;1;7.0;2018-10-30;7800000.0;microempresarial
F;agropecuario;criadero de animales;la pradera;1;13.0;2016-10-11;4000000.0;microempresarial
F;servicio;peluqueria;popular;2;1.0;2018-01-26;7000000.0;microempresarial
F;comercial;papeleria;villa hermosa;1;8.0;2018-01-19;6500000.0;microempresarial
F;comercial;fabrica de;san javier no.1;1;13.0;2016-12-01;5300000.0;microempresarial
F;servicio;peluqueria;la milagrosa;2;9.0;2017-04-21;4000000.0;microempresarial
F;comercial;ferreteria;belen;2;16.0;2019-02-04;6500000.0;microempresarial
F;servicio;productos de belleza;manrique central no. 1;1;4.0;2019-03-05;5500000.0;microempresarial
F;comercial;legumbreria;santo domingo savio;1;1.0;2018-05-29;4000000.0;microempresarial
F;comercial;comidas rapidas;granizal;2;1.0;2017-11-30;7300000.0;microempresarial
F;comercial;tienda;manrique central no. 1;1;4.0;2017-12-07;7000000.0;microempresarial
F;servicio;tienda;robledo;2;7.0;2017-02-20;6000000.0;microempresarial
F;comercial;tienda;barrio caicedo;1;9.0;2018-04-18;5000000.0;microempresarial
F;comercial;fabrica de alimentos;robledo;1;7.0;;7000000.0;microempresarial
F;industrial;fabrica de;belen;3;16.0;2016-11-09;6500000.0;Microempresarial
F;comercial;fabrica de;popular;1;1.0;2017-01-17;7300000.0;microempresarial
F;comercial;tienda;las palmas;2;10.0;;6000000.0;microempresarial
F;industrial;fabrica de;villa niza;2;2.0;2018-08-13;3500000.0;Microempresarial
F;industrial;fabrica de;robledo;1;7.0;2017-10-24;4000000.0;microempresarial
F;comercial;ebanistaria;boyaca;3;5.0;;7000000.0;microempresarial
F;comercial;cafeteria;santo domingo savio;1;1.0;2017-09-05;7300000.0;microempresarial
F;servicio;comidas rapidas;manrique central no. 1;2;4.0;2018-03-09;781000.0;microempresarial
F;servicio;fabrica de;robledo;1;7.0;2019-05-02;8000000.0;microempresarial
F;comercial;papeleria;el salvador;3;9.0;2017-03-30;6500000.0;microempresarial
F;comercial;tienda;aranjuez;1;4.0;2018-08-09;7000000.0;microempresarial
F;comercial;papeleria;granizal;1;1.0;2016-12-21;6890000.0;microempresarial
F;industrial;fabrica de;robledo;2;7.0;2018-07-10;3800000.0;microempresarial
F;comercial;legumbreria;francisco antonio zea;3;5.0;2019-04-29;8000000.0;microempresarial
F;comercial;panaderia;trinidad;3;15.0;;7000000.0;microempresarial
F;comercial;variedades;san javier no.1;3;13.0;2018-04-16;7800000.0;microempresarial
F;comercial;legumbreria;popular;1;1.0;2018-08-29;7000000.0;microempresarial
F;comercial;variedades;aranjuez;3;4.0;2016-09-19;3000000.0;microempresarial
F;comercial;variedades;guayabal;1;15.0;2018-12-06;1000000.0;microempresarial
F;comercial;variedades;enciso;1;8.0;2018-11-26;781000.0;microempresarial
F;comercial;distribuidora de;popular;2;1.0;2017-09-19;2000000.0;microempresarial
F;servicio;comidas rapidas;pedregal;3;6.0;2016-04-01;6800000.0;microempresarial
F;servicio;peluqueria;santo-domingo-savio-;2;1.0;2017-02-07;7300000.0;Microempresarial
F;industrial;fabrica de;manrique oriental;2;3.0;2017-05-08;7377000.0;microempresarial
F;servicio;fabrica de;belen;2;16.0;2016-07-26;6000000.0;microempresarial
F;industrial;fabrica de;aguas frias;2;19.0;2016-04-18;6500000.0;microempresarial
F;industrial;fabrica de;san javier no.1;1;13.0;2018-12-05;5000000.0;microempresarial
F;comercial;almacen de ropa en;belen;1;16.0;2016-08-25;6890000.0;microempresarial
F;comercial;tienda;manrique central no. 2;1;3.0;2016-05-06;3500000.0;microempresarial
F;comercial;cafe e internet;doce de octubre no.1;2;6.0;;5000000.0;microempresarial
F;comercial;variedades;robledo;1;7.0;2017-05-16;5000000.0;microempresarial
F;comercial;variedades;tricentenario;3;5.0;2017-11-20;4000000.0;microempresarial
F;servicio;peluqueria;carpinelo;1;1.0;2018-05-29;1000000.0;microempresarial
F;comercial;comidas rapidas;santa cruz;2;2.0;2018-03-22;1500000.0;microempresarial
F;comercial;restaurante;santa cruz;1;2.0;2016-12-23;6500000.0;microempresarial
F;servicio;fabrica de;belen;1;16.0;;6894000.0;microempresarial
F;servicio;fabrica de;manrique central no. 2;1;3.0;2016-06-23;6000000.0;microempresarial
F;comercial;variedades;san javier no.1;1;13.0;2019-01-04;6000000.0;microempresarial
F;servicio;barberia;robledo;2;7.0;2018-02-02;7000000.0;microempresarial
F;servicio;gimnasio;cabecera san cristobal;3;19.0;2016-11-29;6000000.0;microempresarial
F;industrial;cerrajeria;granizal;1;1.0;2018-10-22;7800000.0;microempresarial
F;comercial;tienda;santa cruz;1;2.0;2018-06-18;2000000.0;microempresarial
F;comercial;restaurante;playon de los;2;2.0;2017-02-06;3000000.0;microempresarial
F;servicio;comidas rapidas;la milagrosa;1;9.0;;1500000.0;microempresarial
F;servicio;restaurante;doce de octubre no.1;1;6.0;2018-02-08;5000000.0;microempresarial
F;comercial;productos de belleza;robledo;1;7.0;2019-03-13;1500000.0;microempresarial
F;industrial;fabrica de;cabecera san cristobal;1;19.0;2017-01-23;7377000.0;microempresarial
F;servicio;cafeteria;calasanz;1;12.0;2019-01-09;5000000.0;microempresarial
F;comercial;comidas rapidas;robledo;2;7.0;2018-10-29;7800000.0;microempresarial
F;servicio;barberia;campo valdes no. 1;1;4.0;2018-01-31;7812000.0;microempresarial
F;servicio;taller de mecanica;cabecera san antonio;3;19.0;2017-07-13;7000000.0;microempresarial
F;comercial;almacen de ropa en;el pinal;1;8.0;2017-09-19;4000000.0;microempresarial
F;industrial;fabrica de alimentos;la floresta;3;12.0;;7370000.0;microempresarial
F;comercial;tienda;granizal;1;1.0;;6000000.0;microempresarial
F;industrial;fabrica de;manrique central no. 1;1;4.0;2018-11-28;7812420.0;microempresarial
F;servicio;publicidad y;robledo;2;7.0;2017-09-01;7377000.0;microempresarial
F;comercial;variedades;santa rosa de lima;1;13.0;2018-05-28;5000000.0;microempresarial
F;industrial;fabrica de;campo valdes no. 1;2;4.0;2019-04-09;4000000.0;microempresarial
F;servicio;mantenimiento en;popular;1;1.0;2018-11-15;7000000.0;microempresarial
F;servicio;productos de belleza;san javier no.1;3;13.0;2018-03-21;2400000.0;microempresarial
F;servicio;cafe e internet;santo_domingo_savio_;1;1.0;2017-10-19;4000000.0;microempresarial
F;industrial;fabrica de calzado;santa cruz;2;2.0;2019-01-15;8200000.0;microempresarial
F;comercial;comidas rapidas;barrio caicedo;2;9.0;2018-08-06;6500000.0;microempresarial
F;industrial;fabrica de;popular;2;1.0;2018-07-24;4000000.0;microempresarial
F;comercial;variedades;manrique central no. 1;1;4.0;2017-08-25;6500000.0;microempresarial
F;comercial;tienda;enciso;1;8.0;2016-09-07;6890000.0;microempresarial
F;comercial;tienda;carpinelo;1;1.0;2017-10-30;1000000.0;microempresarial
F;comercial;tienda;san javier no.2;2;13.0;;8200000.0;microempresarial
F;comercial;miscelanea;manrique central no. 1;3;4.0;2018-02-12;7000000.0;microempresarial
F;comercial;comidas rapidas;robledo;2;7.0;2018-01-19;6350000.0;microempresarial
F;industrial;fabrica de;castilla;1;5.0;2018-05-23;7800000.0;microempresarial
F;comercial;variedades;belen;3;16.0;2018-05-02;5000000.0;Microempresarial
F;comercial;variedades;cabecera san antonio;3;19.0;2018-05-04;4200000.0;microempresarial
F;industrial;fabrica de;doce de octubre no.1;1;6.0;2017-11-16;7370000.0;microempresarial
F;servicio;peluqueria;santa cruz;1;2.0;2017-08-16;1500000.0;microempresarial
F;servicio;lavanderia;san javier no.1;1;13.0;2016-09-01;5000000.0;microempresarial
F;industrial;fabrica de;cabecera san antonio;1;19.0;2018-11-09;6000000.0;microempresarial
F;comercial;almacen de ropa en;moravia;1;4.0;2018-07-16;7800000.0;microempresarial
F;comercial;tienda;manrique central no. 1;1;4.0;2017-12-07;7000000.0;Microempresarial
F;industrial;fabrica de;san javier no.1;1;13.0;2018-04-20;3000000.0;microempresarial
F;industrial;fabrica de;cabecera san antonio;1;19.0;2018-10-03;6000000.0;microempresarial
F;comercial;almacen de ropa en;aranjuez;3;4.0;2018-04-06;7000000.0;microempresarial
F;comercial;variedades;buenos aires;1;9.0;2019-02-13;7000000.0;microempresarial
F;industrial;fabrica de;prado;2;10.0;2016-02-24;6890000.0;microempresarial
F;servicio;peluqueria;doce de octubre no.1;1;6.0;2018-04-04;2500000.0;microempresarial
F;comercial;fabrica_de_;robledo;1;7.0;2018-01-25;7812000.0;microempresarial
F;comercial;comidas rapidas;boston;1;10.0;2018-02-22;3500000.0;microempresarial
F;comercial;fabrica_de_;santo domingo savio;1;1.0;2018-10-26;7800000.0;microempresarial
F;comercial;tienda;la francia;2;2.0;2016-08-08;3500000.0;microempresarial
F;comercial;variedades;la sierra;1;8.0;2019-06-05;8000000.0;microempresarial
F;comercial;tienda;popular;1;1.0;2017-06-29;7377000.0;microempresarial
F;comercial;comidas rapidas;robledo;3;7.0;2019-06-18;8281160.0;microempresarial
F;comercial;venta de calzado;picachito;1;6.0;2018-05-09;4000000.0;microempresarial
F;comercial;tienda;manrique central no. 1;3;4.0;2018-06-08;2000000.0;microempresarial
F;industrial;fabrica de;picacho;1;6.0;2018-12-06;7000000.0;microempresarial
F;comercial;tienda;san javier no.1;2;13.0;2018-02-06;7800000.0;microempresarial
F;comercial;fabrica de alimentos;blanquizal;1;13.0;2018-09-24;3000000.0;microempresarial
F;comercial;fabrica de calzado;barrio caicedo;2;9.0;2017-02-27;4000000.0;microempresarial
F;comercial;almacen de ropa en;manrique central no. 1;1;4.0;;8000000.0;microempresarial
F;servicio;peluqueria;kennedy;3;6.0;2018-07-03;7000000.0;microempresarial
F;industrial;fabrica de;popular;1;1.0;2016-11-18;2000000.0;microempresarial
F;comercial;peluqueria;manrique oriental;1;3.0;2018-10-29;5000000.0;microempresarial
F;comercial;montallantas;manrique central no. 1;1;4.0;2018-04-27;1000000.0;Microempresarial
F;servicio;carniceria;llanaditas;1;8.0;2017-10-18;5000000.0;microempresarial
F;comercial;variedades;moravia;2;4.0;2016-11-08;3000000.0;microempresarial
F;comercial;variedades;manrique central no. 1;1;4.0;2016-10-20;6890000.0;microempresarial
F;comercial;fabrica de helados;doce de octubre no.1;2;6.0;2017-02-06;3000000.0;microempresarial
